Depto,Tuberia,Agua,PisoTierra,Drenajes,SinSeguroM,MEspecialista,AccesoHosp,Poburbana,Pobrural,P20a60,P50,Ppea,Pmismo,Potro,PhogarExt,pobreza,Gini,flujo,ImpRisk,movilidadGT,t11am
Alta Verapaz,26.9,45.6,62.4,12.5,94.7,21.2,29.7,31.25,68.75,43.31,10.83,46.68,83.82,11.2,30.11,29.5,0.497,34661,43,0.000308906,250
Baja Verapaz,53.4,82.4,39.8,30.7,92.5,27.1,59,40.16,59.84,45.01,14.25,49.59,81.34,13.66,25.37,41.7,0.416,13565,17,0.000131467,165
Chimaltenango,70.3,78.2,24.3,52.8,91.8,37.9,40.5,54.13,45.87,47.01,13.38,52.09,78.55,15.53,25.71,42.7,0.505,20566,26,0.000848484,93
Chiquimula,54.1,71.4,42.7,32.6,94,26.5,57.7,37.38,62.62,44.79,14.75,42.03,88.21,5.2,29.36,29.5,0.448,11379,14,0.00015647,187
El Progreso,61.7,82.3,15.5,39.1,90.5,58.2,58.3,51.76,48.24,48.78,17.47,48.35,79.46,13.94,26.01,40,0.421,7857,10,0.000728309,87
Escuintla,46.9,62.6,15.1,51,81.2,40.5,57.9,61.18,38.82,49.91,14.83,46.28,81.13,9.78,26.74,41.7,0.424,24489,31,0.004656985,90
Guatemala,82.1,91.3,10,78,77.5,56.2,37,91.24,8.76,53.66,17.74,58.48,73.31,22.33,26.81,27.9,0.469,94772,100,0.986874303,0
Huehuetenango,46.1,77.2,40.7,33.6,98.1,37.6,53.5,27.96,72.04,42.61,12.77,42.59,87.61,3.95,35.59,45.2,0.489,36438,46,0.000163728,323
Izabal,49.8,72.2,31.3,27.6,86.5,44.7,56.5,41.02,58.98,46.48,14.11,49.03,89.93,2.57,28.68,24.7,0.51,12856,16,0.000399239,316
Jalapa,56.9,78.6,51.8,32.2,94.4,36.5,54.1,63.01,36.99,44.69,13.57,50.87,89.14,7.67,28.96,44.9,0.58,10009,13,0.000188731,130
Jutiapa,61.8,79.1,30.7,32.8,93.3,51.5,52.1,51.14,48.86,47.24,17.02,46.24,82.38,10.52,27.4,38.5,0.53,13665,17,0.00041677,167
Peten,37.7,66.9,33.8,7.4,92.2,30,54.9,40.47,59.53,45.09,11.73,46.84,87.18,4.67,22.95,40.7,0.476,17897,22,0.000362138,530
Quetzaltenango,64.9,81.2,12,56.1,91.3,62,33.7,61.55,38.45,48.44,16.21,48.55,80.42,12.21,33.18,39.5,0.577,25102,31,0.000387948,232
Quiche,52.4,83.3,44.4,32.7,95.3,36,65.6,32.3,67.7,42.3,11.96,44.68,81.44,10.05,34.15,32.9,0.502,30344,38,0.000245189,220
Retalhuleu,38.9,58.2,33.9,26.6,87.6,39.3,46.7,57.34,42.66,46.91,15.07,44.85,76.67,16.93,31.48,40.8,0.458,10089,13,0.000193571,247
Sacatepequez,78.3,91.9,17.9,81.9,86.1,51.6,34.9,88.47,11.53,51.5,16,59.04,65,29.15,24.21,32.7,0.479,11994,15,0.002147827,68
San Marcos,44.9,76.1,29.6,29.1,94.3,44.6,52.5,25.38,74.62,43.05,14.64,37.68,78.26,9.39,37.02,38.2,0.612,28122,35,0.000251642,330
Santa Rosa,51.4,64.2,30.9,32.1,91.6,42.9,57.4,46.45,53.55,47.7,16.46,48.2,75.94,19.19,26.34,41.4,0.482,11172,14,0.000782348,97
Solola,78.8,94.9,20.7,21.8,96.9,33.3,51.1,61.56,38.44,47.62,13.51,49.38,82.79,9.94,27.47,41.1,0.395,14689,18,0.000180666,174
Suchitepequez,55,70.2,28.4,50.4,85.7,32.6,43.4,47.99,52.01,46.45,14.39,47.33,70.72,24.18,29.23,43.9,0.466,17200,22,0.000254868,196
Totonicapan,61.6,84.7,44.6,24.9,96.2,34.2,39.2,48.96,51.04,45.58,14.51,49.64,77.59,14.49,35.18,36.4,0.453,15400,19,0.000083881,213
Zacapa,60.7,87,16,46.3,85.3,35.3,53.8,44.21,55.79,47.88,17.15,47.56,83.97,7.07,28.43,34.6,0.507,10727,13,0.000237124,158
