Depto,a,r,k,tc
ALTA VERAPAZ,1.027932602,0.040385993,1684.722296,141.9596495
BAJA VERAPAZ,1.015910365,0.022788107,1257.619463,158.5970078
CHIMALTENANGO,1.009836924,0.044019142,1233.418555,96.15763168
CHIQUIMULA,1.008151827,0.059885337,940.7110821,105.6369704
EL PROGRESO,1.06198105,0.098809717,399.5354066,56.88367121
ESCUINTLA,1.005166807,0.084007371,3194.791503,82.2316237
GUATEMALA,1.011355759,0.057306172,27230.15804,84.58602066
HUEHUETENANGO,1.005644823,0.030267451,2509.229706,170.8398804
IZABAL,1.005785096,0.041097575,2374.384915,128.9720053
JALAPA,1.0088636,0.033109391,618.3148043,146.131179
JUTIAPA,1.028529572,0.053305901,494.8305735,81.65374597
PETEN,1.004088648,0.035837609,2415.072769,156.4581939
QUEZALTENANGO,1.004378544,0.049307446,3048.249058,120.3294653
QUICHE,1.004054338,0.030592402,1783.013393,169.124659
RETALHULEU,1.002938757,0.039214157,1448.172022,124.5582333
SACATEPEQUEZ,1.010805575,0.044844623,3374.341621,101.9587331
SAN MARCOS,1.021846547,0.07521291,1087.052073,61.60672753
SANTA ROSA,1.02027111,0.057029881,697.0455248,77.51956973
SOLOLA,1.088803461,0.037992162,1598.090368,173.5723663
SUCHITEPEQUEZ,1.003870832,0.048988872,2142.27988,110.5605979
TOTONICAPAN,1.014372099,0.031367228,722.7499603,140.62225
ZACAPA,1.013416629,0.0316845,1517.553097,128.6020849
