departamento,P1,P2,F1,F2
ALTA VERAPAZ,194,438,296,468
BAJA VERAPAZ,237,434,363,468
CHIMALTENANGO,150,326,201,372
CHIQUIMULA,159,264,213,334
EL PROGRESO,107,231,146,332
ESCUINTLA,137,436,214,468
GUATEMALA,135,324,218,376
HUEHUETENANGO,230,425,292,468
IZABAL,174,434,290,468
JALAPA,197,432,295,468
JUTIAPA,134,240,165,324
PETEN,194,431,322,468
QUETZALTENANGO,167,420,265,468
QUICHE,218,427,340,468
RETALHULEU,163,401,322,459
SACATEPEQUEZ,140,310,245,371
SAN MARCOS,115,230,162,349
SANTA ROSA,126,438,204,468
SOLOLA,222,423,356,468
SUCHITEPEQUEZ,156,401,289,459
TOTONICAPAN,172,417,316,465
ZACAPA,170,419,286,468
